Word   1 :  work, used: 0, depth 0
Word 274 :  cube, used: 0, depth 0

Word 275 :  dreg, used: 0, depth 0

Word 276 :   cup, used: 1, depth 13
parent: cap
Word 277 :  coax, used: 0, depth 0

Word 278 :  curt, used: 0, depth 0

Word 279 :  calm, used: 0, depth 0

Word 280 :  skin, used: 0, depth 0

Word 281 :  ahoy, used: 0, depth 0

Word 282 :  ruin, used: 0, depth 0

Word 283 :   tum, used: 0, depth 0

Word 284 :   gym, used: 1, depth 7
parent: gyp
Word 285 :  cups, used: 0, depth 0

Word 286 :  meal, used: 0, depth 0

Word 287 :  bona, used: 0, depth 0

Word 288 :   ana, used: 0, depth 0

Word 289 :   cos, used: 0, depth 0

Word 290 :  bray, used: 0, depth 0

Word 291 :  cubs, used: 0, depth 0

Word 292 :  peak, used: 0, depth 0

Word 293 :  tech, used: 0, depth 0

Word 294 :  pare, used: 0, depth 0

Word 295 :  grew, used: 0, depth 0

Word 296 :  flea, used: 0, depth 0

Word 297 :  gasp, used: 0, depth 0

Word 298 :  park, used: 0, depth 0

Word 299 :  hulk, used: 0, depth 0

Word 300 :   nil, used: 0, depth 0

Word 301 :  craw, used: 0, depth 0

Word 302 :  huck, used: 0, depth 0

Word 303 :   may, used: 0, depth 17
parent: say
Word 304 :  bate, used: 0, depth 0

Word 305 :   tun, used: 0, depth 0

Word 306 :   jot, used: 0, depth 0

Word 307 :  loan, used: 0, depth 0

Word 308 :  icky, used: 0, depth 0

Word 309 :  moot, used: 0, depth 0

Word 310 :  vary, used: 0, depth 0

Word 311 :  chat, used: 0, depth 0

Word 312 :  fate, used: 0, depth 0

Word 313 :  tyne, used: 0, depth 0

Word 314 :  pits, used: 0, depth 0

Word 315 :  care, used: 0, depth 0

Word 316 :  epic, used: 0, depth 0

Word 317 :   soy, used: 1, depth 19
parent: spy
Word 318 :  skew, used: 0, depth 0

Word 319 :   dot, used: 0, depth 0

